p_swap,p_mut_sol,p_mut_pop,p_ls,n_people,ls_th,desv. media
0.1,0.3,0.8,0.2,5,1000,0.25402102544643146
0.3,0.3,0.8,0.2,5,1000,0.3046128303594439
0.1,0.3,1.0,0.2,5,1000,0.3222439244586471
0.1,0.3,1.0,0.4,5,1000,0.3366086288002084
0.1,0.3,0.4,0.2,5,1000,0.3439211546451439
0.3,0.3,1.0,0.2,5,1000,0.3460335329497538
0.1,0.3,0.4,0.4,5,1000,0.3498838803069856
0.3,0.3,0.4,0.4,5,1000,0.35073758217773693
0.1,0.3,0.8,0.4,5,1000,0.37022017387567646
0.3,0.3,1.0,0.4,5,1000,0.38754435073552146
0.3,0.3,0.8,0.4,5,1000,0.38944024908379976
0.1,0.3,0.4,0.2,25,1000,0.4026843587539937
0.3,0.3,0.4,0.2,5,1000,0.40309852243568245
0.3,0.6,0.8,0.4,5,1000,0.40470291659302293
0.1,0.3,1.0,0.2,25,1000,0.4196973247498263
0.3,0.3,0.8,0.2,25,1000,0.4349678483393355
0.1,0.6,0.4,0.4,5,1000,0.43751619405774084
0.1,0.6,0.8,0.4,5,1000,0.4421151844368117
0.1,0.3,0.8,0.2,25,1000,0.4491743646455738
0.1,0.3,0.8,0.4,25,1000,0.46111754402790645
0.3,0.3,1.0,0.2,25,1000,0.46290621687615585
0.3,0.3,0.4,0.2,25,1000,0.4719247671521242
0.1,0.3,1.0,0.4,25,1000,0.4743975972553737
0.1,0.6,0.4,0.2,5,1000,0.4749549778285735
0.3,0.6,1.0,0.2,5,1000,0.47575740027800695
0.3,0.6,0.4,0.2,5,1000,0.47596182982207097
0.1,0.6,0.4,0.2,25,1000,0.4766798521406495
0.1,0.3,0.4,0.4,25,1000,0.47787114411788795
0.1,0.6,1.0,0.2,5,1000,0.4818522473208483
0.1,0.6,0.4,0.4,25,1000,0.48349746487869283
0.1,0.6,1.0,0.4,5,1000,0.487441251022175
0.1,0.6,1.0,0.2,25,1000,0.4906403280305036
0.1,0.6,0.8,0.4,25,1000,0.4910565747813164
0.3,0.6,1.0,0.4,5,1000,0.4921988780881513
0.3,0.6,0.4,0.4,5,1000,0.49251622837747355
0.1,0.6,0.8,0.2,25,1000,0.500946342244414
0.3,0.3,1.0,0.4,25,1000,0.5010817881796099
0.1,0.3,1.0,0.2,5,10000,0.5015100986832678
0.1,0.6,0.8,0.2,5,1000,0.5039445433412552
0.3,0.6,1.0,0.2,25,1000,0.504760004504747
0.3,0.3,0.4,0.4,25,1000,0.507370135336088
0.1,0.6,1.0,0.4,25,1000,0.5088152537774501
0.3,0.3,1.0,0.2,5,10000,0.5096930999970167
0.3,0.3,0.8,0.4,25,1000,0.5141799154726704
0.3,0.3,0.4,0.4,5,10000,0.5198405421252136
0.3,0.6,1.0,0.4,25,1000,0.5206721508894888
0.3,0.6,0.8,0.2,5,1000,0.5291342789307931
0.1,0.3,0.8,0.2,5,10000,0.5292178047538133
0.1,0.3,0.4,0.4,5,10000,0.5343802096292732
0.3,0.6,0.4,0.2,25,1000,0.5349238304143249
0.3,0.3,0.8,0.4,5,10000,0.5397271974376114
0.3,0.6,0.8,0.2,25,1000,0.5415937037729549
0.3,0.6,0.4,0.4,25,1000,0.5417667346769207
0.3,0.6,0.8,0.2,5,10000,0.562282049181325
0.1,0.3,0.4,0.2,5,10000,0.5631684902918072
0.3,0.6,0.8,0.4,5,10000,0.5634855079355146
0.3,0.6,1.0,0.4,5,10000,0.5681950848778313
0.3,0.3,1.0,0.4,5,10000,0.5682442853840198
0.3,0.6,0.4,0.2,5,10000,0.5719043186416459
0.1,0.6,0.4,0.2,5,10000,0.5721713033373296
0.1,0.6,0.8,0.2,5,10000,0.5724829445906288
0.3,0.3,0.8,0.2,5,10000,0.5727047015200687
0.1,0.6,0.4,0.4,5,10000,0.5825345222954783
0.3,0.6,0.8,0.4,25,1000,0.5837828486722152
0.3,0.6,0.4,0.2,25,10000,0.5879323068900288
0.3,0.3,0.4,0.2,5,10000,0.5906428912355098
0.1,0.3,0.8,0.4,5,10000,0.6014359204512839
0.1,0.3,0.8,0.2,25,10000,0.6047288948803164
0.3,0.3,0.8,0.2,25,10000,0.607628957210508
0.3,0.6,1.0,0.2,25,10000,0.619344247603026
0.1,0.3,1.0,0.4,5,10000,0.6204478972478091
0.1,0.3,1.0,0.2,25,10000,0.6211936866666256
0.3,0.6,1.0,0.2,5,10000,0.6250711839788261
0.3,0.3,0.4,0.2,25,10000,0.6280838583910302
0.1,0.6,1.0,0.2,5,10000,0.6314405627087907
0.1,0.6,0.8,0.4,5,10000,0.6370859734263242
0.1,0.6,1.0,0.4,5,10000,0.6455050793031794
0.3,0.3,1.0,0.2,25,10000,0.6516528998761769
0.3,0.6,0.4,0.4,5,10000,0.6571829446428987
0.1,0.3,0.4,0.2,25,10000,0.6619735925915667
0.3,0.6,0.8,0.2,25,10000,0.6637238581963913
0.1,0.6,0.8,0.2,25,10000,0.6644400887311555
0.1,0.6,1.0,0.2,25,10000,0.6676468869731561
0.1,0.6,0.4,0.2,25,10000,0.6718788525715165
0.3,0.3,1.0,0.4,25,10000,0.6760420113556759
0.3,0.6,0.8,0.4,25,10000,0.6760420113556759
0.3,0.3,0.8,0.4,25,10000,0.6760420113556759
0.3,0.6,1.0,0.4,25,10000,0.6760420113556759
0.3,0.3,0.4,0.4,25,10000,0.6760420113556759
0.3,0.6,0.4,0.4,25,10000,0.6760420113556759
0.1,0.3,0.8,0.4,25,10000,0.6834374746590713
0.1,0.6,0.8,0.4,25,10000,0.6834374746590713
0.1,0.3,0.4,0.4,25,10000,0.6834374746590713
0.1,0.3,1.0,0.4,25,10000,0.6834374746590713
0.1,0.6,1.0,0.4,25,10000,0.6834374746590713
0.1,0.6,0.4,0.4,25,10000,0.6834374746590713
